"STATION","NAME","DATE","TMAX","TMIN"
"RSM00028224","PERM, RS","2021-01-01",,"7"
"RSM00028224","PERM, RS","2021-01-02","13",
"RSM00028224","PERM, RS","2021-01-03",,"4"
"RSM00028224","PERM, RS","2021-01-04",,"11"
"RSM00028224","PERM, RS","2021-01-05",,
"RSM00028224","PERM, RS","2021-01-06",,
"RSM00028224","PERM, RS","2021-01-07","16","3"
"RSM00028224","PERM, RS","2021-01-08",,
"RSM00028224","PERM, RS","2021-01-09","19",
"RSM00028224","PERM, RS","2021-01-10",,
"RSM00028224","PERM, RS","2021-01-11","2",
"RSM00028224","PERM, RS","2021-01-12","-4","-8"
"RSM00028224","PERM, RS","2021-01-13","-6",
"RSM00028224","PERM, RS","2021-01-14",,"-19"
"RSM00028224","PERM, RS","2021-01-15","18","0"
"RSM00028224","PERM, RS","2021-01-16",,"2"
"RSM00028224","PERM, RS","2021-01-17",,
"RSM00028224","PERM, RS","2021-01-18","1",
"RSM00028224","PERM, RS","2021-01-19",,"-19"
"RSM00028224","PERM, RS","2021-01-20",,
"RSM00028224","PERM, RS","2021-01-21","2","-5"
"RSM00028224","PERM, RS","2021-01-22","-2",
"RSM00028224","PERM, RS","2021-01-23",,"-18"
"RSM00028224","PERM, RS","2021-01-24",,"-9"
"RSM00028224","PERM, RS","2021-01-25","34","13"
"RSM00028224","PERM, RS","2021-01-26",,
"RSM00028224","PERM, RS","2021-01-27","25",
"RSM00028224","PERM, RS","2021-01-28","27","20"
"RSM00028224","PERM, RS","2021-01-29","30","17"
"RSM00028224","PERM, RS","2021-01-30",,
"RSM00028224","PERM, RS","2021-01-31","30","23"
"RSM00028224","PERM, RS","2021-02-01",,
"RSM00028224","PERM, RS","2021-02-02",,
"RSM00028224","PERM, RS","2021-02-03","17","8"
"RSM00028224","PERM, RS","2021-02-04",,"11"
"RSM00028224","PERM, RS","2021-02-05",,"19"
"RSM00028224","PERM, RS","2021-02-06",,
"RSM00028224","PERM, RS","2021-02-07",,
"RSM00028224","PERM, RS","2021-02-08",,"-14"
"RSM00028224","PERM, RS","2021-02-09","-8","-16"
"RSM00028224","PERM, RS","2021-02-10",,"-20"
"RSM00028224","PERM, RS","2021-02-13",,
"RSM00028224","PERM, RS","2021-02-14","23",
"RSM00028224","PERM, RS","2021-02-15",,
"RSM00028224","PERM, RS","2021-02-16","-1","-10"
"RSM00028224","PERM, RS","2021-02-17","5",
"RSM00028224","PERM, RS","2021-02-18",,"-20"
"RSM00028224","PERM, RS","2021-02-19",,"-18"
"RSM00028224","PERM, RS","2021-02-22","-14",
"RSM00028224","PERM, RS","2021-02-23","-12","-28"
"RSM00028224","PERM, RS","2021-02-24","-6","-22"
"RSM00028224","PERM, RS","2021-02-25","5","-25"
"RSM00028224","PERM, RS","2021-02-26","5","-15"
"RSM00028224","PERM, RS","2021-02-27","11","-5"
"RSM00028224","PERM, RS","2021-02-28",,"-1"
"RSM00028224","PERM, RS","2021-03-01","16","-1"
"RSM00028224","PERM, RS","2021-03-02",,"1"
"RSM00028224","PERM, RS","2021-03-03","31","15"
"RSM00028224","PERM, RS","2021-03-04","26","21"
"RSM00028224","PERM, RS","2021-03-05",,
"RSM00028224","PERM, RS","2021-03-06","16",
"RSM00028224","PERM, RS","2021-03-07","17","-5"
"RSM00028224","PERM, RS","2021-03-08","18","0"
"RSM00028224","PERM, RS","2021-03-09","19",
"RSM00028224","PERM, RS","2021-03-10","3","-8"
"RSM00028224","PERM, RS","2021-03-11","5","-19"
"RSM00028224","PERM, RS","2021-03-12","22","-7"
"RSM00028224","PERM, RS","2021-03-13","26","5"
"RSM00028224","PERM, RS","2021-03-14","25","6"
"RSM00028224","PERM, RS","2021-03-15","24","16"
"RSM00028224","PERM, RS","2021-03-16",,"20"
"RSM00028224","PERM, RS","2021-03-17","31",
"RSM00028224","PERM, RS","2021-03-18","35","21"
"RSM00028224","PERM, RS","2021-03-19","36","27"
"RSM00028224","PERM, RS","2021-03-20","31",
"RSM00028224","PERM, RS","2021-03-21","26","19"
"RSM00028224","PERM, RS","2021-03-22","35","20"
"RSM00028224","PERM, RS","2021-03-23",,"25"
"RSM00028224","PERM, RS","2021-03-24","35","27"
"RSM00028224","PERM, RS","2021-03-25","45","23"
"RSM00028224","PERM, RS","2021-03-26","49","29"
"RSM00028224","PERM, RS","2021-03-27","39",
"RSM00028224","PERM, RS","2021-03-28","43","16"
"RSM00028224","PERM, RS","2021-03-29","45","26"
"RSM00028224","PERM, RS","2021-03-30","49","23"
"RSM00028224","PERM, RS","2021-03-31","42","31"
"RSM00028224","PERM, RS","2021-04-01","36","32"
"RSM00028224","PERM, RS","2021-04-02","38","33"
"RSM00028224","PERM, RS","2021-04-03","51","35"
"RSM00028224","PERM, RS","2021-04-04","41",
"RSM00028224","PERM, RS","2021-04-05","42","31"
"RSM00028224","PERM, RS","2021-04-06","46","28"
"RSM00028224","PERM, RS","2021-04-07","48","28"
"RSM00028224","PERM, RS","2021-04-08","51","34"
"RSM00028224","PERM, RS","2021-04-09","42",
"RSM00028224","PERM, RS","2021-04-10","47","34"
"RSM00028224","PERM, RS","2021-04-11","47","37"
"RSM00028224","PERM, RS","2021-04-12","56",
"RSM00028224","PERM, RS","2021-04-13","62","28"
"RSM00028224","PERM, RS","2021-04-14","69","39"
"RSM00028224","PERM, RS","2021-04-15","70",
"RSM00028224","PERM, RS","2021-04-16","50",
"RSM00028224","PERM, RS","2021-04-17","55","24"
"RSM00028224","PERM, RS","2021-04-18","44",
"RSM00028224","PERM, RS","2021-04-19","43","22"
"RSM00028224","PERM, RS","2021-04-20","52","21"
"RSM00028224","PERM, RS","2021-04-21","61","26"
"RSM00028224","PERM, RS","2021-04-22",,
"RSM00028224","PERM, RS","2021-04-23","50",
"RSM00028224","PERM, RS","2021-04-24","49","37"
"RSM00028224","PERM, RS","2021-04-25","46",
"RSM00028224","PERM, RS","2021-04-26","45","34"
"RSM00028224","PERM, RS","2021-04-27","54","41"
"RSM00028224","PERM, RS","2021-04-28","48","38"
"RSM00028224","PERM, RS","2021-04-29","53",
"RSM00028224","PERM, RS","2021-04-30","50","34"
"RSM00028224","PERM, RS","2021-05-01","62","36"
"RSM00028224","PERM, RS","2021-05-02","52",
"RSM00028224","PERM, RS","2021-05-03","59","29"
"RSM00028224","PERM, RS","2021-05-04","78","46"
"RSM00028224","PERM, RS","2021-05-05","62",
"RSM00028224","PERM, RS","2021-05-06","54",
"RSM00028224","PERM, RS","2021-05-07","73","36"
"RSM00028224","PERM, RS","2021-05-08","72",
"RSM00028224","PERM, RS","2021-05-09","77","41"
"RSM00028224","PERM, RS","2021-05-10","79","52"
"RSM00028224","PERM, RS","2021-05-11","76","53"
"RSM00028224","PERM, RS","2021-05-12","77","45"
"RSM00028224","PERM, RS","2021-05-13","84","48"
"RSM00028224","PERM, RS","2021-05-14","86","51"
"RSM00028224","PERM, RS","2021-05-15","86","64"
"RSM00028224","PERM, RS","2021-05-16","89","65"
"RSM00028224","PERM, RS","2021-05-17","86",
"RSM00028224","PERM, RS","2021-05-18","71","52"
"RSM00028224","PERM, RS","2021-05-19","73","47"
"RSM00028224","PERM, RS","2021-05-20","79","49"
"RSM00028224","PERM, RS","2021-05-21","78","54"
"RSM00028224","PERM, RS","2021-05-22","70","56"
"RSM00028224","PERM, RS","2021-05-23","68","55"
"RSM00028224","PERM, RS","2021-05-24","82","55"
"RSM00028224","PERM, RS","2021-05-25","64",
"RSM00028224","PERM, RS","2021-05-26",,
"RSM00028224","PERM, RS","2021-05-27",,"44"
"RSM00028224","PERM, RS","2021-05-28",,"43"
"RSM00028224","PERM, RS","2021-05-29","82","52"
"RSM00028224","PERM, RS","2021-05-30","66",
"RSM00028224","PERM, RS","2021-05-31",,"43"
"RSM00028224","PERM, RS","2021-06-03",,"36"
"RSM00028224","PERM, RS","2021-06-04",,"42"
"RSM00028224","PERM, RS","2021-06-05",,"42"
"RSM00028224","PERM, RS","2021-06-06",,"48"
"RSM00028224","PERM, RS","2021-06-07",,"55"
"RSM00028224","PERM, RS","2021-06-08",,"49"
"RSM00028224","PERM, RS","2021-06-09",,"44"
"RSM00028224","PERM, RS","2021-06-10",,"43"
"RSM00028224","PERM, RS","2021-06-11",,"44"
"RSM00028224","PERM, RS","2021-06-12",,"53"
"RSM00028224","PERM, RS","2021-06-13",,"60"
"RSM00028224","PERM, RS","2021-06-14",,"60"
"RSM00028224","PERM, RS","2021-06-15",,"62"
"RSM00028224","PERM, RS","2021-06-16",,"61"
"RSM00028224","PERM, RS","2021-06-17",,
"RSM00028224","PERM, RS","2021-06-18",,"50"
"RSM00028224","PERM, RS","2021-06-19",,"57"
"RSM00028224","PERM, RS","2021-06-20",,"64"
"RSM00028224","PERM, RS","2021-06-21",,"44"
"RSM00028224","PERM, RS","2021-06-22",,"58"
"RSM00028224","PERM, RS","2021-06-23",,
"RSM00028224","PERM, RS","2021-06-24",,"52"
"RSM00028224","PERM, RS","2021-06-25",,"62"
"RSM00028224","PERM, RS","2021-06-26",,"62"
"RSM00028224","PERM, RS","2021-06-27",,"58"
"RSM00028224","PERM, RS","2021-06-28",,"61"
"RSM00028224","PERM, RS","2021-06-29",,"67"
"RSM00028224","PERM, RS","2021-06-30",,"68"
"RSM00028224","PERM, RS","2021-07-01",,"67"
"RSM00028224","PERM, RS","2021-07-02",,"64"
"RSM00028224","PERM, RS","2021-07-03",,"63"
"RSM00028224","PERM, RS","2021-07-04",,
"RSM00028224","PERM, RS","2021-07-05",,"49"
"RSM00028224","PERM, RS","2021-07-06",,"48"
"RSM00028224","PERM, RS","2021-07-07",,"49"
"RSM00028224","PERM, RS","2021-07-08",,"54"
"RSM00028224","PERM, RS","2021-07-09",,"57"
"RSM00028224","PERM, RS","2021-07-10",,"63"
"RSM00028224","PERM, RS","2021-07-11",,"56"
"RSM00028224","PERM, RS","2021-07-12",,"52"
"RSM00028224","PERM, RS","2021-07-13",,
"RSM00028224","PERM, RS","2021-07-14",,"49"
"RSM00028224","PERM, RS","2021-07-15",,"49"
"RSM00028224","PERM, RS","2021-07-16",,"54"
"RSM00028224","PERM, RS","2021-07-17",,"54"
"RSM00028224","PERM, RS","2021-07-18",,
"RSM00028224","PERM, RS","2021-07-19",,"54"
"RSM00028224","PERM, RS","2021-07-20",,"63"
"RSM00028224","PERM, RS","2021-07-21",,
"RSM00028224","PERM, RS","2021-07-22",,"58"
"RSM00028224","PERM, RS","2021-07-23",,
"RSM00028224","PERM, RS","2021-07-24",,"50"
"RSM00028224","PERM, RS","2021-07-25",,"49"
"RSM00028224","PERM, RS","2021-07-26",,"47"
"RSM00028224","PERM, RS","2021-07-27",,
"RSM00028224","PERM, RS","2021-07-28",,"48"
"RSM00028224","PERM, RS","2021-07-29",,"45"
"RSM00028224","PERM, RS","2021-07-30",,"58"
"RSM00028224","PERM, RS","2021-07-31",,"55"
"RSM00028224","PERM, RS","2021-08-01",,
"RSM00028224","PERM, RS","2021-08-02",,"54"
"RSM00028224","PERM, RS","2021-08-03",,"61"
"RSM00028224","PERM, RS","2021-08-04",,"66"
"RSM00028224","PERM, RS","2021-08-05",,"61"
"RSM00028224","PERM, RS","2021-08-06",,
"RSM00028224","PERM, RS","2021-08-07",,"46"
"RSM00028224","PERM, RS","2021-08-08",,"47"
"RSM00028224","PERM, RS","2021-08-09",,"49"
"RSM00028224","PERM, RS","2021-08-10",,"53"
"RSM00028224","PERM, RS","2021-08-12",,"49"
"RSM00028224","PERM, RS","2021-08-13",,"51"
"RSM00028224","PERM, RS","2021-08-14",,"60"
"RSM00028224","PERM, RS","2021-08-15",,"57"
"RSM00028224","PERM, RS","2021-08-16",,"55"
